what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1341826993228
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341826993229
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341826993230
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341826993231
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341826993233
os,sysinfo,,,"win32",1341826993242
arch,sysinfo,,,"x86_64",1341826993242
ws,sysinfo,,,"win32",1341826993242
locale,sysinfo,,,"ko_KR",1341826993242
processors,sysinfo,,,"4",1341826993242
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341826993242
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1341826993242
java.specification.name,sysinfo,,,"Java Platform API Specification",1341826993242
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341826993242
java.specification.version,sysinfo,,,"1.7",1341826993242
java.vendor,sysinfo,,,"Oracle Corporation",1341826993242
java.version,sysinfo,,,"1.7.0_05",1341826993242
java.vm.info,sysinfo,,,"mixed mode",1341826993242
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341826993242
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341826993242
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341826993242
java.vm.specification.version,sysinfo,,,"1.7",1341826993242
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341826993242
java.vm.version,sysinfo,,,"23.1-b03",1341826993242
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1341826993848
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1341826994718
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341827003351
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1341827003970
