what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1341818535235
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1341818535428
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1341818544670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818544694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818545136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818546992
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1341818548389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818548396
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341818548431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818549420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818550236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818550484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818552003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818553015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818554232
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1341818555118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818606733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818612608
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1341818623155
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1341818623304
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1341818623446
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1341818627215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818627239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818627638
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1341818688395
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1341818689118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818689142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818689458
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1341818707484
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1341818708298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818708356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341818708840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341818716407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341818721834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1341818724218
