what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1341810545718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1341810545976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810547857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810548581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810548762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810557953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810562093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810566858
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1341810566960
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341810567990
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1341810568982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810570146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810580167
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341810580324
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1341810585617
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1341810586307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810586334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810586730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810586926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810617877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810633749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810647771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341810662017
